Position;Title;Year;Genres
310;Dances with Wolves;1990;Adventure, Drama, Western
311;Kill Bill: Vol. 2;2004;Action, Crime, Thriller
312;Sling Blade;1996;Drama
313;The Incredibles;2004;Animation, Action, Adventure, Family
314;Crimes and Misdemeanors;1989;Comedy, Drama
315;Ed Wood;1994;Biography, Comedy, Drama
316;Brazil;1985;Drama, Sci-Fi
317;This Is the End;2013;Comedy
318;Tropa de Elite;2007;Action, Crime, Drama, Thriller
319;Hable con ella;2002;Drama, Mystery, Romance
320;Moon;2009;Drama, Mystery, Sci-Fi
321;In Bruges;2008;Comedy, Crime, Drama, Thriller
322;This Is Spinal Tap;1984;Comedy, Music
323;Avatar;2009;Action, Adventure, Fantasy, Sci-Fi
324;Akira;1988;Animation, Action, Sci-Fi, Thriller
325;Midnight Cowboy;1969;Drama
326;Letters from Iwo Jima;2006;Action, Adventure, Drama, History, War
327;Toy Story 2;1999;Animation, Adventure, Comedy, Family, Fantasy
328;Persepolis;2007;Animation, Biography, Drama, History, War
329;Mulholland Dr.;2001;Drama, Mystery, Thriller
330;Casino Royale;2006;Action, Adventure, Thriller
331;Children of Men;2006;Adventure, Drama, Sci-Fi, Thriller
332;True Romance;1993;Crime, Drama, Romance, Thriller
333;Un prophËte;2009;Crime, Drama
334;No Man's Land;2001;Comedy, Drama, War
335;Cinderella Man;2005;Biography, Drama, History, Romance, Sport
336;The Man Who Would Be King;1975;Adventure, History, War
337;The Insider;1999;Biography, Drama, Thriller
338;Gegen die Wand;2004;Drama, Romance
339;Miller's Crossing;1990;Crime, Drama, Thriller
340;Aladdin;1992;Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance
341;Dogville;2003;Crime, Drama
342;Ying xiong;2002;Action, Adventure, History
343;Catch Me If You Can;2002;Biography, Crime, Drama
344;¿ bout de souffle;1960;Crime, Drama
345;Silver Linings Playbook;2012;Comedy, Drama, Romance
346;Almost Famous;2000;Adventure, Comedy, Drama, Music
347;The Man from Earth;2007;Drama, Fantasy, Mystery, Sci-Fi
348;Crash;2004;Crime, Drama, Thriller
349;Glory;1989;Biography, Drama, History, War
350;Shrek;2001;Animation, Adventure, Comedy, Family, Fantasy
351;The Killing Fields;1984;Biography, Drama, History, War
352;Serenity;2005;Action, Adventure, Sci-Fi, Thriller
353;The Blues Brothers;1980;Action, Adventure, Comedy, Crime, Music, Musical
354;La leggenda del pianista sull'oceano;1998;Drama, Music, Romance
355;The Notebook;2004;Drama, Romance
356;The Fighter;2010;Biography, Drama, Sport
357;Hannah and Her Sisters;1986;Comedy, Drama
358;Iron Man;2008;Action, Adventure, Sci-Fi
359;Badlands;1973;Action, Crime, Drama
360;The Breakfast Club;1985;Comedy, Drama
361;Once;2007;Drama, Music, Romance
362;The Remains of the Day;1993;Drama, Romance
363;Argo;2012;Biography, Drama, Thriller
364;The 39 Steps;1935;Crime, Mystery, Thriller
365;Trois couleurs: Bleu;1993;Drama, Music, Mystery, Romance
366;Halloween;1978;Horror, Thriller
367;Drive;2011;Crime, Drama
368;Little Miss Sunshine;2006;Comedy, Drama
369;The Girl with the Dragon Tattoo;2011;Crime, Drama, Mystery, Thriller
370;The Bourne Identity;2002;Action, Mystery, Thriller
